,Code,Description1
11409,L0627005004,"item that has been trimmed, bent, molded, assembled, or otherwise customized to"
11410,L0627006004,fit a specific patient by an individual with expertise
11411,L0628001003,"Lumbar-sacral orthosis, flexible, provides lumbo-sacral support, posterior"
11412,L0628002004,"extends from sacrococcygeal junction to t-9 vertebra, produces intracavitary"
11413,L0628003004,"pressure to reduce load on the intervertebral discs, includes straps, closures,"
11414,L0628004004,"may include stays, shoulder straps, pendulous abdomen design, prefabricated,"
11415,L0628005004,off-the-shelf
11416,L0629001003,"Lumbar-sacral orthosis, flexible, provides lumbo-sacral support, posterior"
11417,L0629002004,"extends from sacrococcygeal junction to t-9 vertebra, produces intracavitary"
11418,L0629003004,"pressure to reduce load on the intervertebral discs, includes straps, closures,"
11419,L0629004004,"may include stays, shoulder straps, pendulous abdomen design, custom fabricated"
11420,L0630001003,"Lumbar-sacral orthosis, sagittal control, with rigid posterior panel(s),"
11421,L0630002004,"posterior extends from sacrococcygeal junction to t-9 vertebra, produces"
11422,L0630003004,"intracavitary pressure to reduce load on the intervertebral discs, includes"
11423,L0630004004,"straps, closures, may include padding, stays, shoulder straps, pendulous"
11424,L0630005004,"abdomen design, prefabricated item that has been trimmed, bent, molded,"
11425,L0630006004,"assembled, or otherwise customized to fit a specific patient by an individual"
11426,L0630007004,with expertise
11427,L0631001003,"Lumbar-sacral orthosis, sagittal control, with rigid anterior and posterior"
11428,L0631002004,"panels, posterior extends from sacrococcygeal junction to t-9 vertebra,"
11429,L0631003004,"produces intracavitary pressure to reduce load on the intervertebral discs,"
11430,L0631004004,"includes straps, closures, may include padding, shoulder straps, pendulous"
11431,L0631005004,"abdomen design, prefabricated item that has been trimmed, bent, molded,"
11432,L0631006004,"assembled, or otherwise customized to fit a specific patient by an individual"
11433,L0631007004,with expertise
11434,L0632001003,"Lumbar-sacral orthosis, sagittal control, with rigid anterior and posterior"
11435,L0632002004,"panels, posterior extends from sacrococcygeal junction to t-9 vertebra,"
11436,L0632003004,"produces intracavitary pressure to reduce load on the intervertebral discs,"
11437,L0632004004,"includes straps, closures, may include padding, shoulder straps, pendulous"
11438,L0632005004,"abdomen design, custom fabricated"
11439,L0633001003,"Lumbar-sacral orthosis, sagittal-coronal control, with rigid posterior"
11440,L0633002004,"frame/panel(s), posterior extends from sacrococcygeal junction to t-9 vertebra,"
11441,L0633003004,"lateral strength provided by rigid lateral frame/panels, produces intracavitary"
11442,L0633004004,"pressure to reduce load on intervertebral discs, includes straps, closures, may"
11443,L0633005004,"include padding, stays, shoulder straps, pendulous abdomen design,"
11444,L0633006004,"prefabricated item that has been trimmed, bent, molded, assembled, or otherwise"
11445,L0633007004,customized to fit a specific patient by an individual with expertise
11446,L0634001003,"Lumbar-sacral orthosis, sagittal-coronal control, with rigid posterior"
11447,L0634002004,"frame/panel(s), posterior extends from sacrococcygeal junction to t-9 vertebra,"
11448,L0634003004,"lateral strength provided by rigid lateral frame/panel(s), produces"
11449,L0634004004,"intracavitary pressure to reduce load on intervertebral discs, includes straps,"
11450,L0634005004,"closures, may include padding, stays, shoulder straps, pendulous abdomen"
11451,L0634006004,"design, custom fabricated"
11452,L0635001003,"Lumbar-sacral orthosis, sagittal-coronal control, lumbar flexion, rigid"
11453,L0635002004,"posterior frame/panel(s), lateral articulating design to flex the lumbar spine,"
11454,L0635003004,"posterior extends from sacrococcygeal junction to t-9 vertebra, lateral"
11455,L0635004004,"strength provided by rigid lateral frame/panel(s), produces intracavitary"
11456,L0635005004,"pressure to reduce load on intervertebral discs, includes straps, closures, may"
11457,L0635006004,"include padding, anterior panel, pendulous abdomen design, prefabricated,"
11458,L0635007004,includes fitting and adjustment
11459,L0636001003,"Lumbar sacral orthosis, sagittal-coronal control, lumbar flexion, rigid"
11460,L0636002004,"posterior frame/panels, lateral articulating design to flex the lumbar spine,"
11461,L0636003004,"posterior extends from sacrococcygeal junction to t-9 vertebra, lateral"
11462,L0636004004,"strength provided by rigid lateral frame/panels, produces intracavitary"
11463,L0636005004,"pressure to reduce load on intervertebral discs, includes straps, closures, may"
11464,L0636006004,"include padding, anterior panel, pendulous abdomen design, custom fabricated"
11465,L0637001003,"Lumbar-sacral orthosis, sagittal-coronal control, with rigid anterior and"
11466,L0637002004,"posterior frame/panels, posterior extends from sacrococcygeal junction to t-9"
11467,L0637003004,"vertebra, lateral strength provided by rigid lateral frame/panels, produces"
11468,L0637004004,"intracavitary pressure to reduce load on intervertebral discs, includes straps,"
11469,L0637005004,"closures, may include padding, shoulder straps, pendulous abdomen design,"
11470,L0637006004,"prefabricated item that has been trimmed, bent, molded, assembled, or otherwise"
11471,L0637007004,customized to fit a specific patient by an individual with expertise
11472,L0638001003,"Lumbar-sacral orthosis, sagittal-coronal control, with rigid anterior and"
11473,L0638002004,"posterior frame/panels, posterior extends from sacrococcygeal junction to t-9"
11474,L0638003004,"vertebra, lateral strength provided by rigid lateral frame/panels, produces"
11475,L0638004004,"intracavitary pressure to reduce load on intervertebral discs, includes straps,"
11476,L0638005004,"closures, may include padding, shoulder straps, pendulous abdomen design,"
11477,L0638006004,custom fabricated
11478,L0639001003,"Lumbar-sacral orthosis, sagittal-coronal control, rigid shell(s)/panel(s),"
11479,L0639002004,"posterior extends from sacrococcygeal junction to t-9 vertebra, anterior"
11480,L0639003004,"extends from symphysis pubis to xyphoid, produces intracavitary pressure to"
11481,L0639004004,"reduce load on the intervertebral discs, overall strength is provided by"
11482,L0639005004,"overlapping rigid material and stabilizing closures, includes straps, closures,"
11483,L0639006004,"may include soft interface, pendulous abdomen design, prefabricated item that"
11484,L0639007004,"has been trimmed, bent, molded, assembled, or otherwise customized to fit a"
11485,L0639008004,specific patient by an individual with expertise
11486,L0640001003,"Lumbar-sacral orthosis, sagittal-coronal control, rigid shell(s)/panel(s),"
11487,L0640002004,"posterior extends from sacrococcygeal junction to t-9 vertebra, anterior"
11488,L0640003004,"extends from symphysis pubis to xyphoid, produces intracavitary pressure to"
11489,L0640004004,"reduce load on the intervertebral discs, overall strength is provided by"
11490,L0640005004,"overlapping rigid material and stabilizing closures, includes straps, closures,"
11491,L0640006004,"may include soft interface, pendulous abdomen design, custom fabricated"
11492,L0641001003,"Lumbar orthosis, sagittal control, with rigid posterior panel(s), posterior"
11493,L0641002004,"extends from l-1 to below l-5 vertebra, produces intracavitary pressure to"
11494,L0641003004,"reduce load on the intervertebral discs, includes straps, closures, may include"
11495,L0641004004,"padding, stays, shoulder straps, pendulous abdomen design, prefabricated,"
11496,L0641005004,off-the-shelf
11497,L0642001003,"Lumbar orthosis, sagittal control, with rigid anterior and posterior panels,"
11498,L0642002004,"posterior extends from l-1 to below l-5 vertebra, produces intracavitary"
11499,L0642003004,"pressure to reduce load on the intervertebral discs, includes straps, closures,"
11500,L0642004004,"may include padding, shoulder straps, pendulous abdomen design, prefabricated,"
11501,L0642005004,off-the-shelf
11502,L0643001003,"Lumbar-sacral orthosis, sagittal control, with rigid posterior panel(s),"
11503,L0643002004,"posterior extends from sacrococcygeal junction to t-9 vertebra, produces"
11504,L0643003004,"intracavitary pressure to reduce load on the intervertebral discs, includes"
11505,L0643004004,"straps, closures, may include padding, stays, shoulder straps, pendulous"
11506,L0643005004,"abdomen design, prefabricated, off-the-shelf"
11507,L0648001003,"Lumbar-sacral orthosis, sagittal control, with rigid anterior and posterior"
11508,L0648002004,"panels, posterior extends from sacrococcygeal junction to t-9 vertebra,"
11509,L0648003004,"produces intracavitary pressure to reduce load on the intervertebral discs,"
11510,L0648004004,"includes straps, closures, may include padding, shoulder straps, pendulous"
11511,L0648005004,"abdomen design, prefabricated, off-the-shelf"
11512,L0649001003,"Lumbar-sacral orthosis, sagittal-coronal control, with rigid posterior"
11513,L0649002004,"frame/panel(s), posterior extends from sacrococcygeal junction to t-9 vertebra,"
11514,L0649003004,"lateral strength provided by rigid lateral frame/panels, produces intracavitary"
11515,L0649004004,"pressure to reduce load on intervertebral discs, includes straps, closures, may"
11516,L0649005004,"include padding, stays, shoulder straps, pendulous abdomen design,"
11517,L0649006004,"prefabricated, off-the-shelf"
11518,L0650001003,"Lumbar-sacral orthosis, sagittal-coronal control, with rigid anterior and"
11519,L0650002004,"posterior frame/panel(s), posterior extends from sacrococcygeal junction to t-9"
11520,L0650003004,"vertebra, lateral strength provided by rigid lateral frame/panel(s), produces"
11521,L0650004004,"intracavitary pressure to reduce load on intervertebral discs, includes straps,"
11522,L0650005004,"closures, may include padding, shoulder straps, pendulous abdomen design,"
11523,L0650006004,"prefabricated, off-the-shelf"
11524,L0651001003,"Lumbar-sacral orthosis, sagittal-coronal control, rigid shell(s)/panel(s),"
11525,L0651002004,"posterior extends from sacrococcygeal junction to t-9 vertebra, anterior"
11526,L0651003004,"extends from symphysis pubis to xyphoid, produces intracavitary pressure to"
11527,L0651004004,"reduce load on the intervertebral discs, overall strength is provided by"
11528,L0651005004,"overlapping rigid material and stabilizing closures, includes straps, closures,"
11529,L0651006004,"may include soft interface, pendulous abdomen design, prefabricated,"
11530,L0651007004,off-the-shelf
11531,L0700001003,"Cervical-thoracic-lumbar-sacral-orthoses (ctlso), anterior-posterior-lateral"
11532,L0700002004,"control, molded to patient model, (minerva type)"
11533,L0710001003,"Ctlso, anterior-posterior-lateral-control, molded to patient model, with"
11534,L0710002004,"interface material, (minerva type)"
11535,L0720001003,"Cervical-thoracic-lumbar-sacral-orthoses (ctlso), anterior-posterior-lateral"
11536,L0720002004,"control, prefabricated item that has been trimmed, bent, molded, assembled, or"
11537,L0720003004,otherwise customized to fit a specific patient by an individual with expertise
11538,L0810001003,"Halo procedure, cervical halo incorporated into jacket vest"
11539,L0820001003,"Halo procedure, cervical halo incorporated into plaster body jacket"
11540,L0830001003,"Halo procedure, cervical halo incorporated into milwaukee type orthosis"
11541,L0859001003,"Addition to halo procedure, magnetic resonance image compatible systems, rings"
11542,L0859002004,"and pins, any material"
11543,L0861001003,"Addition to halo procedure, replacement liner/interface material"
11544,L0970001003,"Tlso, corset front"
11545,L0972001003,"Lso, corset front"
11546,L0974001003,"Tlso, full corset"
11547,L0976001003,"Lso, full corset"
11548,L0978001003,Axillary crutch extension
11549,L0980001003,"Peroneal straps, prefabricated, off-the-shelf, pair"
11550,L0982001003,"Stocking supporter grips, prefabricated, off-the-shelf, set of four (4)"
11551,L0984001003,"Protective body sock, prefabricated, off-the-shelf, each"
11552,L0999001003,"Addition to spinal orthosis, not otherwise specified"
11553,L1000001003,"Cervical-thoracic-lumbar-sacral orthosis (ctlso) (milwaukee), inclusive of"
11554,L1000002004,"furnishing initial orthosis, including model"
11555,L1001001003,"Cervical thoracic lumbar sacral orthosis, immobilizer, infant size,"
11556,L1001002004,"prefabricated, includes fitting and adjustment"
11557,L1005001003,"Tension based scoliosis orthosis and accessory pads, includes fitting and"
11558,L1005002004,adjustment
11559,L1006001003,"Scoliosis orthosis, sagittal-coronal control provided by a rigid lateral frame,"
11560,L1006002004,"extends from axilla to trochanter, includes all accessory pads, straps and"
11561,L1006003004,"interface, prefabricated item that has been trimmed, bent, molded, assembled,"
11562,L1006004004,or otherwise customized to fit a specific patient by an individual with
11563,L1006005004,expertise
11564,L1007001003,"Scoliosis orthosis, sagittal-coronal control provided by a rigid lateral frame,"
11565,L1007002004,"extends from axilla, to trochanter, includes all accessory pads, straps, and"
11566,L1007003004,"interface, custom fabricated"
11567,L1010001003,Addition to cervical-thoracic-lumbar-sacral orthosis (ctlso) or scoliosis
11568,L1010002004,"orthosis, axilla sling"
11569,L1020001003,"Addition to ctlso or scoliosis orthosis, kyphosis pad"
11570,L1025001003,"Addition to ctlso or scoliosis orthosis, kyphosis pad, floating"
11571,L1030001003,"Addition to ctlso or scoliosis orthosis, lumbar bolster pad"
11572,L1040001003,"Addition to ctlso or scoliosis orthosis, lumbar or lumbar rib pad"
11573,L1050001003,"Addition to ctlso or scoliosis orthosis, sternal pad"
11574,L1060001003,"Addition to ctlso or scoliosis orthosis, thoracic pad"
11575,L1070001003,"Addition to ctlso or scoliosis orthosis, trapezius sling"
11576,L1080001003,"Addition to ctlso or scoliosis orthosis, outrigger"
11577,L1085001003,"Addition to ctlso or scoliosis orthosis, outrigger, bilateral with vertical"
11578,L1085002004,extensions
11579,L1090001003,"Addition to ctlso or scoliosis orthosis, lumbar sling"
11580,L1100001003,"Addition to ctlso or scoliosis orthosis, ring flange, plastic or leather"
11581,L1110001003,"Addition to ctlso or scoliosis orthosis, ring flange, plastic or leather,"
11582,L1110002004,molded to patient model
11583,L1120001003,"Addition to ctlso, scoliosis orthosis, cover for upright, each"
11584,L1200001003,"Thoracic-lumbar-sacral-orthosis (tlso), inclusive of furnishing initial"
11585,L1200002004,orthosis only
11586,L1210001003,"Addition to tlso, (low profile), lateral thoracic extension"
11587,L1220001003,"Addition to tlso, (low profile), anterior thoracic extension"
11588,L1230001003,"Addition to tlso, (low profile), milwaukee type superstructure"
11589,L1240001003,"Addition to tlso, (low profile), lumbar derotation pad"
11590,L1250001003,"Addition to tlso, (low profile), anterior asis pad"
11591,L1260001003,"Addition to tlso, (low profile), anterior thoracic derotation pad"
11592,L1270001003,"Addition to tlso, (low profile), abdominal pad"
11593,L1280001003,"Addition to tlso, (low profile), rib gusset (elastic), each"
11594,L1290001003,"Addition to tlso, (low profile), lateral trochanteric pad"
11595,L1300001003,"Other scoliosis procedure, body jacket molded to patient model"
11596,L1310001003,"Other scoliosis procedure, post-operative body jacket"
11597,L1320001003,"Thoracic, pectus carinatum orthosis, sternal compression, rigid circumferential"
11598,L1320002004,"frame with anterior and posterior rigid pads, custom fabricated"
11599,L1499001003,"Spinal orthosis, not otherwise specified"
11600,L1600001003,"Hip orthosis, abduction control of hip joints, flexible, frejka type with"
11601,L1600002004,"cover, prefabricated item that has been trimmed, bent, molded, assembled, or"
11602,L1600003004,otherwise customized to fit a specific patient by an inidividual with expertise
11603,L1610001003,"Hip orthosis, abduction control of hip joints, flexible, (frejka cover only),"
11604,L1610002004,"prefabricated item that has been trimmed, bent, molded, assembled, or otherwise"
11605,L1610003004,customized to fit a specific patient by an individual with expertise
11606,L1620001003,"Hip orthosis, abduction control of hip joints, flexible, (pavlik harness),"
11607,L1620002004,"prefabricated item that has been trimmed, bent, molded, assembled, or otherwise"
11608,L1620003004,customized to fit a specific patient by an individual with expertise
11609,L1630001003,"Hip orthosis, abduction control of hip joints, semi-flexible (von rosen type),"
11610,L1630002004,custom fabricated
11611,L1640001003,"Hip orthosis, abduction control of hip joints, static, pelvic band or spreader"
11612,L1640002004,"bar, thigh cuffs, custom fabricated"
11613,L1650001003,"Hip orthosis, abduction control of hip joints, static, adjustable, (ilfled"
11614,L1650002004,"type), prefabricated, includes fitting and adjustment"
11615,L1652001003,"Hip orthosis, bilateral thigh cuffs with adjustable abductor spreader bar,"
11616,L1652002004,"adult size, prefabricated, includes fitting and adjustment, prefabricated item"
11617,L1652003004,"that has been trimmed, bent, molded, assembled, or otherwise customized to fit"
11618,L1652004004,a specific patient by an individual with expertise
11619,L1653001003,"Hip orthosis, bilateral thigh cuffs with adjustable abductor spreader bar,"
11620,L1653002004,"adult size, prefabricated, off the shelf"
11621,L1660001003,"Hip orthosis, abduction control of hip joints, static, plastic, prefabricated,"
11622,L1660002004,includes fitting and adjustment
11623,L1680001003,"Hip orthosis, abduction control of hip joints, dynamic, pelvic control,"
11624,L1680002004,"adjustable hip motion control, thigh cuffs (rancho hip action type), custom"
11625,L1680003004,fabricated
11626,L1681001003,"Hip orthosis, bilateral hip joints and thigh cuffs, adjustable flexion,"
11627,L1681002004,"extension, abduction control of hip joint, postoperative hip abduction type,"
11628,L1681003004,"prefabricated item that has been trimmed, bent, molded, assembled, or otherwise"
11629,L1681004004,customized to fit a specific patient by an individual with expertise
11630,L1685001003,"Hip orthosis, abduction control of hip joint, postoperative hip abduction type,"
11631,L1685002004,custom fabricated
11632,L1686001003,"Hip orthosis, abduction control of hip joint, postoperative hip abduction type,"
11633,L1686002004,"prefabricated, includes fitting and adjustment"
11634,L1690001003,"Combination, bilateral, lumbo-sacral, hip, femur orthosis providing adduction"
11635,L1690002004,"and internal rotation control, prefabricated, includes fitting and adjustment"
11636,L1700001003,"Legg perthes orthosis, (toronto type), custom fabricated"
11637,L1710001003,"Legg perthes orthosis, (newington type), custom fabricated"
11638,L1720001003,"Legg perthes orthosis, trilateral, (tachdijan type), custom fabricated"
11639,L1730001003,"Legg perthes orthosis, (scottish rite type), custom fabricated"
11640,L1755001003,"Legg perthes orthosis, (patten bottom type), custom fabricated"
11641,L1810001003,"Knee orthosis, elastic with joints, prefabricated item that has been trimmed,"
11642,L1810002004,"bent, molded, assembled, or otherwise customized to fit a specific patient by"
11643,L1810003004,an individual with expertise
11644,L1812001003,"Knee orthosis, elastic with joints, prefabricated, off-the-shelf"
11645,L1820001003,"Knee orthosis, elastic with condylar pads and joints, with or without patellar"
11646,L1820002004,"control, prefabricated item that has been trimmed, bent, molded, assembled, or"
11647,L1820003004,otherwise customized to fit a specific patient by an individual with expertise
11648,L1821001003,"Knee orthosis, elastic with condylar pads and joints, with or without patellar"
11649,L1821002004,"control, prefabricated, off the shelf"
11650,L1830001003,"Knee orthosis, immobilizer, canvas longitudinal, prefabricated, off-the-shelf"
11651,L1831001003,"Knee orthosis, locking knee joint(s), positional orthosis, prefabricated,"
11652,L1831002004,includes fitting and adjustment
11653,L1832001003,"Knee orthosis, adjustable knee joints (unicentric or polycentric), positional"
11654,L1832002004,"orthosis, rigid support, prefabricated item that has been trimmed, bent,"
11655,L1832003004,"molded, assembled, or otherwise customized to fit a specific patient by an"
11656,L1832004004,individual with expertise
11657,L1833001003,"Knee orthosis, adjustable knee joints (unicentric or polycentric), positional"
11658,L1833002004,"orthosis, rigid support, prefabricated, off-the shelf"
11659,L1834001003,"Knee orthosis, without knee joint, rigid, custom fabricated"
11660,L1836001003,"Knee orthosis, rigid, without joint(s), includes soft interface material,"
11661,L1836002004,"prefabricated, off-the-shelf"
11662,L1840001003,"Knee orthosis, derotation, medial-lateral, anterior cruciate ligament, custom"
11663,L1840002004,fabricated
11664,L1843001003,"Knee orthosis, single upright, thigh and calf, with adjustable flexion and"
11665,L1843002004,"extension joint (unicentric or polycentric), medial-lateral and rotation"
11666,L1843003004,"control, with or without varus/valgus adjustment, prefabricated item that has"
11667,L1843004004,"been trimmed, bent, molded, assembled, or otherwise customized to fit a"
11668,L1843005004,specific patient by an individual with expertise
11669,L1844001003,"Knee orthosis, single upright, thigh and calf, with adjustable flexion and"
11670,L1844002004,"extension joint (unicentric or polycentric), medial-lateral and rotation"
11671,L1844003004,"control, with or without varus/valgus adjustment, custom fabricated"
11672,L1845001003,"Knee orthosis, double upright, thigh and calf, with adjustable flexion and"
11673,L1845002004,"extension joint (unicentric or polycentric), medial-lateral and rotation"
11674,L1845003004,"control, with or without varus/valgus adjustment, prefabricated item that has"
11675,L1845004004,"been trimmed, bent, molded, assembled, or otherwise customized to fit a"
11676,L1845005004,specific patient by an individual with expertise
11677,L1846001003,"Knee orthosis, double upright, thigh and calf, with adjustable flexion and"
11678,L1846002004,"extension joint (unicentric or polycentric), medial-lateral and rotation"
11679,L1846003004,"control, with or without varus/valgus adjustment, custom fabricated"
11680,L1847001003,"Knee orthosis, double upright with adjustable joint, with inflatable air"
11681,L1847002004,"support chamber(s), prefabricated item that has been trimmed, bent, molded,"
11682,L1847003004,"assembled, or otherwise customized to fit a specific patient by an individual"
11683,L1847004004,with expertise
11684,L1848001003,"Knee orthosis, double upright with adjustable joint, with inflatable air"
11685,L1848002004,"support chamber(s), prefabricated, off-the-shelf"
11686,L1850001003,"Knee orthosis, swedish type, prefabricated, off-the-shelf"
11687,L1851001003,"Knee orthosis (ko), single upright, thigh and calf, with adjustable flexion and"
11688,L1851002004,"extension joint (unicentric or polycentric), medial-lateral and rotation"
11689,L1851003004,"control, with or without varus/valgus adjustment, prefabricated, off-the-shelf"
11690,L1852001003,"Knee orthosis (ko), double upright, thigh and calf, with adjustable flexion and"
11691,L1852002004,"extension joint (unicentric or polycentric), medial-lateral and rotation"
11692,L1852003004,"control, with or without varus/valgus adjustment, prefabricated, off-the-shelf"
11693,L1860001003,"Knee orthosis, modification of supracondylar prosthetic socket, custom"
11694,L1860002004,fabricated (sk)
11695,L1900001003,"Ankle foot orthosis, spring wire, dorsiflexion assist calf band, custom"
11696,L1900002004,fabricated
11697,L1902001003,"Ankle orthosis, ankle gauntlet or similar, with or without joints,"
11698,L1902002004,"prefabricated, off-the-shelf"
11699,L1904001003,"Ankle orthosis, ankle gauntlet or similar, with or without joints, custom"
11700,L1904002004,fabricated
11701,L1906001003,"Ankle foot orthosis, multiligamentous ankle support, prefabricated,"
11702,L1906002004,off-the-shelf
11703,L1907001003,"Ankle orthosis, supramalleolar with straps, with or without interface/pads,"
11704,L1907002004,custom fabricated
11705,L1910001003,"Ankle foot orthosis, posterior, single bar, clasp attachment to shoe counter,"
11706,L1910002004,"prefabricated, includes fitting and adjustment"
11707,L1920001003,"Ankle foot orthosis, single upright with static or adjustable stop (phelps or"
11708,L1920002004,"perlstein type), custom fabricated"
11709,L1930001003,"Ankle foot orthosis, plastic or other material, prefabricated, includes fitting"
11710,L1930002004,and adjustment
11711,L1932001003,"Ankle foot orthosis, rigid anterior tibial section, total carbon fiber or equal"
11712,L1932002004,"material, prefabricated item that has been trimmed, bent, molded, assembled, or"
11713,L1932003004,otherwise customized to fit a specific patient by an individual with expertise
11714,L1933001003,"Ankle foot orthosis, rigid anterior tibial section, total carbon fiber or equal"
11715,L1933002004,"material, prefabricated, off-the-shelf"
11716,L1940001003,"Ankle foot orthosis, plastic or other material, custom fabricated"
11717,L1945001003,"Ankle foot orthosis, plastic, rigid anterior tibial section (floor reaction),"
11718,L1945002004,custom fabricated
11719,L1950001003,"Ankle foot orthosis, spiral, (institute of rehabilitative medicine type),"
11720,L1950002004,"plastic, custom fabricated"
11721,L1951001003,"Ankle foot orthosis, spiral, (institute of rehabilitative medicine type),"
11722,L1951002004,"plastic or other material, prefabricated item that has been trimmed, bent,"
11723,L1951003004,"molded, assembled, or otherwise customized to fit a specific patient by an"
11724,L1951004004,individual with expertise
11725,L1952001003,"Ankle foot orthosis, spiral, (institute of rehabilitative medicine type),"
11726,L1952002004,"plastic or other material, prefabricated, off-the-shelf"
11727,L1960001003,"Ankle foot orthosis, posterior solid ankle, plastic, custom fabricated"
11728,L1970001003,"Ankle foot orthosis, plastic with ankle joint, custom fabricated"
11729,L1971001003,"Ankle foot orthosis, plastic or other material with ankle joint, with or"
11730,L1971002004,"without dorsiflexion assist, prefabricated, includes fitting and adjustment"
11731,L1980001003,"Ankle foot orthosis, single upright free plantar dorsiflexion, solid stirrup,"
11732,L1980002004,"calf band/cuff (single bar 'bk' orthosis), custom fabricated"
11733,L1990001003,"Ankle foot orthosis, double upright free plantar dorsiflexion, solid stirrup,"
11734,L1990002004,"calf band/cuff (double bar 'bk' orthosis), custom fabricated"
11735,L2000001003,"Knee ankle foot orthosis, single upright, free knee, free ankle, solid stirrup,"
11736,L2000002004,"thigh and calf bands/cuffs (single bar 'ak' orthosis), custom fabricated"
11737,L2005001003,"Knee ankle foot orthosis, any material, single or double upright, stance"
11738,L2005002004,"control, automatic lock and swing phase release, any type activation, includes"
11739,L2005003004,"ankle joint, any type, custom fabricated"
11740,L2006001003,"Knee ankle foot device, any material, single or double upright, swing and"
11741,L2006002004,"stance phase microprocessor control with adjustability, includes all components"
11742,L2006003004,"(e.g., sensors, batteries, charger), any type activation, with or without ankle"
11743,L2006004004,"joint(s), custom fabricated"
11744,L2010001003,"Knee ankle foot orthosis, single upright, free ankle, solid stirrup, thigh and"
11745,L2010002004,"calf bands/cuffs (single bar 'ak' orthosis), without knee joint, custom"
11746,L2010003004,fabricated
11747,L2020001003,"Knee ankle foot orthosis, double upright, free ankle, solid stirrup, thigh and"
11748,L2020002004,"calf bands/cuffs (double bar 'ak' orthosis), custom fabricated"
11749,L2030001003,"Knee ankle foot orthosis, double upright, free ankle, solid stirrup, thigh and"
11750,L2030002004,"calf bands/cuffs, (double bar 'ak' orthosis), without knee joint, custom"
11751,L2030003004,fabricated
11752,L2034001003,"Knee ankle foot orthosis, full plastic, single upright, with or without free"
11753,L2034002004,"motion knee, medial lateral rotation control, with or without free motion"
11754,L2034003004,"ankle, custom fabricated"
11755,L2035001003,"Knee ankle foot orthosis, full plastic, static (pediatric size), without free"
11756,L2035002004,"motion ankle, prefabricated, includes fitting and adjustment"
11757,L2036001003,"Knee ankle foot orthosis, full plastic, double upright, with or without free"
11758,L2036002004,"motion knee, with or without free motion ankle, custom fabricated"
11759,L2037001003,"Knee ankle foot orthosis, full plastic, single upright, with or without free"
11760,L2037002004,"motion knee, with or without free motion ankle, custom fabricated"
11761,L2038001003,"Knee ankle foot orthosis, full plastic, with or without free motion knee,"
11762,L2038002004,"multi-axis ankle, custom fabricated"
11763,L2040001003,"Hip knee ankle foot orthosis, torsion control, bilateral rotation straps,"
11764,L2040002004,"pelvic band/belt, custom fabricated"
11765,L2050001003,"Hip knee ankle foot orthosis, torsion control, bilateral torsion cables, hip"
11766,L2050002004,"joint, pelvic band/belt, custom fabricated"
11767,L2060001003,"Hip knee ankle foot orthosis, torsion control, bilateral torsion cables, ball"
11768,L2060002004,"bearing hip joint, pelvic band/ belt, custom fabricated"
11769,L2070001003,"Hip knee ankle foot orthosis, torsion control, unilateral rotation straps,"
11770,L2070002004,"pelvic band/belt, custom fabricated"
11771,L2080001003,"Hip knee ankle foot orthosis, torsion control, unilateral torsion cable, hip"
11772,L2080002004,"joint, pelvic band/belt, custom fabricated"
11773,L2090001003,"Hip knee ankle foot orthosis, torsion control, unilateral torsion cable, ball"
11774,L2090002004,"bearing hip joint, pelvic band/ belt, custom fabricated"
11775,L2106001003,"Ankle foot orthosis, fracture orthosis, tibial fracture cast orthosis,"
11776,L2106002004,"thermoplastic type casting material, custom fabricated"
11777,L2108001003,"Ankle foot orthosis, fracture orthosis, tibial fracture cast orthosis, custom"
11778,L2108002004,fabricated
11779,L2112001003,"Ankle foot orthosis, fracture orthosis, tibial fracture orthosis, soft,"
11780,L2112002004,"prefabricated, includes fitting and adjustment"
11781,L2114001003,"Ankle foot orthosis, fracture orthosis, tibial fracture orthosis, semi-rigid,"
11782,L2114002004,"prefabricated, includes fitting and adjustment"
11783,L2116001003,"Ankle foot orthosis, fracture orthosis, tibial fracture orthosis, rigid,"
11784,L2116002004,"prefabricated, includes fitting and adjustment"
11785,L2126001003,"Knee ankle foot orthosis, fracture orthosis, femoral fracture cast orthosis,"
11786,L2126002004,"thermoplastic type casting material, custom fabricated"
11787,L2128001003,"Knee ankle foot orthosis, fracture orthosis, femoral fracture cast orthosis,"
11788,L2128002004,custom fabricated
11789,L2132001003,"Kafo, fracture orthosis, femoral fracture cast orthosis, soft, prefabricated,"
11790,L2132002004,includes fitting and adjustment
11791,L2134001003,"Kafo, fracture orthosis, femoral fracture cast orthosis, semi-rigid,"
11792,L2134002004,"prefabricated, includes fitting and adjustment"
11793,L2136001003,"Kafo, fracture orthosis, femoral fracture cast orthosis, rigid, prefabricated,"
11794,L2136002004,includes fitting and adjustment
11795,L2180001003,"Addition to lower extremity fracture orthosis, plastic shoe insert with ankle"
11796,L2180002004,joints
11797,L2182001003,"Addition to lower extremity fracture orthosis, drop lock knee joint"
11798,L2184001003,"Addition to lower extremity fracture orthosis, limited motion knee joint"
11799,L2186001003,"Addition to lower extremity fracture orthosis, adjustable motion knee joint,"
11800,L2186002004,lerman type
11801,L2188001003,"Addition to lower extremity fracture orthosis, quadrilateral brim"
11802,L2190001003,"Addition to lower extremity fracture orthosis, waist belt"
11803,L2192001003,"Addition to lower extremity fracture orthosis, hip joint, pelvic band, thigh"
11804,L2192002004,"flange, and pelvic belt"
